term,term_frequency
gewährt_VERB,77583
ergänzt_VERB,77482
schritt_NOUN,77474
schwang_VERB,77395
tust_VERB,77157
kühl_ADJ,77058
harte_ADJ,77046
weite_ADJ,76921
konkret_ADJ,76842
fein_ADJ,76796
primär_ADJ,76595
lege_VERB,76326
warme_ADJ,76308
atmen_VERB,76082
landete_VERB,75911
mühsam_ADJ,75907
geriet_VERB,75875
beenden_VERB,75856
sichern_VERB,75786
zählte_VERB,75676
lass_VERB,75607
wich_ADJ,75583
gehst_VERB,75032
setze_VERB,74993
zweier_ADJ,74872
möge_VERB,74789
teuer_ADJ,74741
wandern_VERB,74628
waschen_VERB,74523
sorgt_VERB,74437
vierten_ADJ,74398
kannten_VERB,74249
äußere_ADJ,74185
kämpfte_VERB,74021
diente_VERB,73891
feiern_VERB,73738
höflich_ADJ,73468
holt_VERB,73389
liest_VERB,73383
unruhig_ADJ,73252
weichen_ADJ,73192
bemühte_VERB,73114
bewirkt_VERB,73112
gewiss_ADJ,73024
wach_ADJ,73021
denkbar_ADJ,72819
heiße_ADJ,72733
altes_ADJ,72678
bitte_VERB,72667
hattest_VERB,72535
braunen_ADJ,72482
geredet_VERB,72444
enger_ADJ,72433
großem_ADJ,72199
legten_VERB,72159
enden_VERB,72062
deuten_VERB,71873
bequem_ADJ,71575
ward_VERB,71389
fängt_VERB,71345
verriet_VERB,71321
kniete_VERB,71185
durften_VERB,71114
stoßen_VERB,71063
kostet_VERB,71053
bricht_VERB,71040
leere_ADJ,70995
bekamen_VERB,70928
passte_VERB,70920
hohem_ADJ,70916
rührte_VERB,70788
stützte_VERB,70709
dünnen_ADJ,70692
toten_ADJ,70607
suche_VERB,70462
schmale_ADJ,70453
besetzt_VERB,70449
blau_ADJ,70390
überaus_ADV,70334
wirkten_VERB,70142
spontan_ADJ,70132
geltend_ADJ,70090
wüsste_VERB,70064
kurzem_ADJ,70051
redet_VERB,70019
geholt_VERB,69956
hilflos_ADJ,69896
lohnt_VERB,69802
heben_VERB,69615
kochen_VERB,69293
glatt_ADJ,69216
mächtig_ADJ,68953
rückte_VERB,68806
zwingen_VERB,68710
bösen_ADJ,68613
sorgte_VERB,68506
indes_ADV,68451
weiß_ADJ,68435
aktuell_ADJ,68410
keuchte_VERB,68179
stößt_VERB,68124
endete_VERB,68118
stillen_ADJ,68106
hinein_ADV,68017
geklärt_VERB,67982
lachten_VERB,67960
geprüft_VERB,67826
umarmte_VERB,67671
bloße_ADJ,67555
lokalen_ADJ,67550
blind_ADJ,67516
deutsch_ADJ,67500
extra_ADV,67465
üben_VERB,67446
dreimal_ADV,67424
drinnen_ADV,67321
wählte_VERB,67317
gezielt_ADJ,67111
einsam_ADJ,67023
