term,term_frequency
sale_VERB,73548
jugar_VERB,73439
virtud_NOUN,73273
pasillo_NOUN,73246
reino_NOUN,73171
abuelo_NOUN,73106
chicos_NOUN,72775
masa_NOUN,72657
tareas_NOUN,72618
legal_ADJ,72461
acababa_VERB,72391
gracia_NOUN,72377
impacto_NOUN,72319
quieren_VERB,72218
febrero_NOUN,72201
contra_NOUN,72189
suelen_VERB,72131
fuentes_NOUN,72035
hago_VERB,71997
preciso_ADJ,71859
vive_VERB,71644
intento_NOUN,71608
ciento_NOUN,71549
aguas_NOUN,71442
cliente_NOUN,71314
olor_NOUN,71246
hayan_VERB,71175
barco_NOUN,71166
norma_NOUN,71108
cuentas_NOUN,70944
fase_NOUN,70915
pedir_VERB,70867
delito_NOUN,70832
dieron_VERB,70336
duro_ADJ,70052
inicial_ADJ,70031
nariz_NOUN,69955
textos_NOUN,69766
polvo_NOUN,69567
luna_NOUN,69566
volumen_NOUN,69427
primero_ADV,69406
costa_NOUN,69382
reina_NOUN,69354
siente_VERB,69126
sirve_VERB,69096
querer_VERB,69042
viendo_VERB,69027
cuadro_NOUN,68894
etapa_NOUN,68815
escapar_VERB,68814
playa_NOUN,68774
temor_NOUN,68694
lleno_ADJ,68649
alcance_NOUN,68554
ponerse_VERB,68525
demanda_NOUN,68493
supo_VERB,68430
plantas_NOUN,68391
teatro_NOUN,68346
fuertes_ADJ,68317
muestra_NOUN,68191
vino_VERB,68127
poeta_NOUN,68035
salido_VERB,67896
locales_ADJ,67773
pienso_VERB,67724
paredes_NOUN,67722
miembro_NOUN,67604
piensa_VERB,67490
haces_VERB,67420
muerto_ADJ,67296
inicio_NOUN,67255
causas_NOUN,67226
agosto_NOUN,67172
lluvia_NOUN,67164
leche_NOUN,67047
popular_ADJ,67025
dedo_NOUN,66930
dudas_NOUN,66797
extremo_NOUN,66731
llegada_NOUN,66727
parecen_VERB,66684
espejo_NOUN,66616
llamaba_VERB,66415
pensado_VERB,66399
querido_VERB,66322
espera_VERB,66268
busca_NOUN,66122
negra_ADJ,66072
capaces_ADJ,66051
