term,term_frequency
parti_VERB,137269
courir_VERB,136939
chaise_NOUN,136832
vint_VERB,136447
touche_VERB,136427
course_NOUN,136413
attente_NOUN,136349
pensais_VERB,135986
cacher_VERB,135284
montant_NOUN,135247
haine_NOUN,135154
machine_NOUN,135084
veulent_VERB,134961
resta_VERB,134557
chevaux_NOUN,134415
nouvel_ADJ,134365
marque_NOUN,134290
neige_NOUN,134189
loin_NOUN,133945
cris_NOUN,133817
conflit_NOUN,133679
examen_NOUN,133428
version_NOUN,133394
marcher_VERB,133370
acheter_VERB,133314
logique_NOUN,132691
dirait_VERB,132651
ouvre_VERB,132208
eaux_NOUN,132150
phase_NOUN,131699
donna_VERB,131385
interne_ADJ,131242
soudain_ADJ,130384
raconte_VERB,130041
signes_NOUN,129805
boire_VERB,129666
chasse_NOUN,129544
menace_NOUN,129263
plats_NOUN,129142
joues_NOUN,129121
oncle_NOUN,129096
concept_NOUN,128989
repris_VERB,128922
normal_ADJ,128739
secours_NOUN,128626
croit_VERB,128495
partis_NOUN,128488
retenir_VERB,128297
sommet_NOUN,128236
devons_VERB,128068
donnent_VERB,127897
bleu_ADJ,127474
longs_ADJ,127331
pointe_NOUN,127281
anglais_ADJ,127237
humeur_NOUN,127143
civil_ADJ,127054
dessous_NOUN,126744
patron_NOUN,126268
attend_VERB,126126
agents_NOUN,126116
bateau_NOUN,126085
avocat_NOUN,126080
chute_NOUN,125854
vague_NOUN,125788
tombe_VERB,125780
esprits_NOUN,125587
gloire_NOUN,125368
debout_ADV,125119
morts_NOUN,125028
sept_ADJ,124966
noirs_ADJ,124932
saisir_VERB,124857
moyen_ADJ,124589
lune_NOUN,124507
douceur_NOUN,124484
battre_VERB,124447
totale_ADJ,124132
issue_NOUN,123917
malade_ADJ,123756
lecteur_NOUN,123673
rare_ADJ,123531
patient_NOUN,122972
zones_NOUN,122807
crainte_NOUN,122708
local_ADJ,122622
offrir_VERB,122417
demeure_VERB,122188
savoir_NOUN,122151
sable_NOUN,122086
charme_NOUN,122023
surpris_VERB,121990
formule_NOUN,121523
paysage_NOUN,121501
serai_VERB,121381
gestes_NOUN,120993
repos_NOUN,120781
tendit_VERB,120547
restent_VERB,120282
chefs_NOUN,120275
saisit_VERB,120223
sois_VERB,120221
tort_NOUN,120004
cent_NOUN,119906
minute_NOUN,119717
vite_ADJ,119626
gare_NOUN,119491
dispose_VERB,119373
viande_NOUN,119355
destin_NOUN,119141
capital_NOUN,118755
espaces_NOUN,118618
animal_NOUN,118516
complet_ADJ,118505
saurait_VERB,118476
rouges_ADJ,118252
entend_VERB,118219
plans_NOUN,118177
neuf_ADJ,117996
disent_VERB,117919
papa_NOUN,117769
pouvant_VERB,117716
tension_NOUN,117603
cartes_NOUN,117441
lundi_NOUN,117417
sorti_VERB,117257
rire_NOUN,117189
adresse_NOUN,117187
devrais_VERB,117148
choc_NOUN,117137
impact_NOUN,117072
traces_NOUN,117058
sport_NOUN,116923
rupture_NOUN,116605
ennemi_NOUN,116473
ajoute_VERB,116457
champs_NOUN,116388
rang_NOUN,116372
contre_ADV,116173
horizon_NOUN,116046
aimer_VERB,115613
pierres_NOUN,115582
voyez_VERB,115526
section_NOUN,114837
plat_NOUN,114608
vide_ADJ,114585
grosse_ADJ,114262
garde_VERB,114206
suivant_ADJ,114110
vert_ADJ,113957
change_VERB,113818
revoir_VERB,113626
peuples_NOUN,113431
note_NOUN,113252
mener_VERB,113033
poussa_VERB,113021
chemise_NOUN,112790
guide_NOUN,112620
reprend_VERB,112615
parfait_ADJ,112489
souci_NOUN,112475
vigueur_NOUN,112402
troupes_NOUN,112276
divers_ADJ,112266
parut_VERB,112168
cesse_NOUN,112118
glace_NOUN,111988
plantes_NOUN,111828
miroir_NOUN,111768
repose_VERB,111721
refuse_VERB,111714
servi_VERB,111404
agent_NOUN,111252
classes_NOUN,111169
poisson_NOUN,111110
tend_VERB,110850
limite_NOUN,110834
malheur_NOUN,110729
reconnu_VERB,110586
bande_NOUN,110565
cercle_NOUN,110463
indique_VERB,110361
rage_NOUN,110339
envoyer_VERB,110200
aise_ADJ,110011
revint_VERB,109884
frais_ADJ,109804
inverse_ADJ,109728
langues_NOUN,109586
dieux_NOUN,109561
angle_NOUN,109522
soumis_VERB,109326
sortes_NOUN,109155
retard_NOUN,109031
nation_NOUN,109024
tente_VERB,108886
pousse_VERB,108229
vive_ADJ,108138
cabinet_NOUN,108095
tenant_VERB,107986
coucher_VERB,107972
avance_NOUN,107962
aspects_NOUN,107951
proches_ADJ,107888
danse_NOUN,107655
pleurer_VERB,107587
devais_VERB,107563
jolie_ADJ,107406
croyait_VERB,107317
devez_VERB,107252
refus_NOUN,107203
alcool_NOUN,107141
urgence_NOUN,107108
humains_ADJ,106975
folie_NOUN,106820
seuil_NOUN,106819
rendez_VERB,106764
horreur_NOUN,106731
promis_VERB,106589
morte_ADJ,106553
quelque_ADJ,106213
digne_ADJ,106166
savent_VERB,106125
firent_VERB,106114
sites_NOUN,106054
artiste_NOUN,106016
traduit_VERB,105989
mettent_VERB,105884
locale_ADJ,105811
bain_NOUN,105410
ennemis_NOUN,105299
pareil_ADJ,104963
enfant_VERB,104914
assis_ADJ,104894
glisser_VERB,104489
inutile_ADJ,104392
avion_NOUN,104168
morceau_NOUN,104121
truc_NOUN,104034
sachant_VERB,104031
relever_VERB,103995
normes_NOUN,103934
queue_NOUN,103847
niveaux_NOUN,103638
chat_NOUN,103508
fallu_VERB,103475
aient_VERB,103272
avancer_VERB,103265
estime_VERB,103140
lancer_VERB,102771
direct_ADJ,102750
rendait_VERB,102647
juger_VERB,102544
entra_VERB,102474
bains_NOUN,102284
causes_NOUN,102046
mine_NOUN,101994
magie_NOUN,101836
trou_NOUN,101645
alla_VERB,101405
secoua_VERB,101387
mettant_VERB,101315
central_ADJ,101211
abri_NOUN,101122
risque_VERB,100871
venus_VERB,100864
toit_NOUN,100770
feuille_NOUN,100693
appui_NOUN,100674
fins_NOUN,100578
courte_ADJ,100388
accent_NOUN,100327
trace_NOUN,100325
fruit_NOUN,99805
futur_NOUN,99766
soupir_NOUN,99581
lourd_ADJ,99539
droit_ADJ,99495
fameux_ADJ,99384
rendit_VERB,99257
oiseaux_NOUN,99237
voulut_VERB,99213
piste_NOUN,99195
essence_NOUN,99169
marche_VERB,98946
marches_NOUN,98893
tenue_NOUN,98874
