räume,37,VERB,NOUN,3PS;FORM_OF;IMP;INFLECTED_FORM;PLURAL;SUBJ;TRANSCLUSION
tränen,37,VERB,NOUN,PLURAL;TRANSCLUSION
sofern,37,CONJUNCTION,
baby,36,NOUN,SINGULAR;TRANSCLUSION
jürgen,36,PROPER NOUN,NOUN,SINGULAR;TRANSCLUSION
kreml,36,PROPER NOUN,NOUN,SINGULAR;TRANSCLUSION
weidel,36,PROPER NOUN,TRANSCLUSION
eure,36,DETERMINER,TRANSCLUSION
applaus,35,NOUN,SINGULAR;TRANSCLUSION
claudia,35,PROPER NOUN,TRANSCLUSION
märkte,35,NOUN,PLURAL;TRANSCLUSION
visier,35,NOUN,SINGULAR;TRANSCLUSION
seitens,35,PREPOSITION,TRANSCLUSION
luzern,34,PROPER NOUN,TRANSCLUSION
länge,34,NOUN,SINGULAR;TRANSCLUSION
marc,34,PROPER NOUN,TRANSCLUSION
plänen,34,NOUN,PLURAL;TRANSCLUSION
stücke,34,NOUN,PLURAL;TRANSCLUSION
talente,34,NOUN,PLURAL;TRANSCLUSION
beider,34,DETERMINER,PRONOUN,TRANSCLUSION
fühle,34,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SUBJ;TRANSCLUSION
heiß,34,ADJECTIVE,TRANSCLUSION
wider,34,PREPOSITION,TRANSCLUSION
erhalt,33,NOUN,SINGULAR
attacke,33,NOUN,SINGULAR
genf,33,PROPER NOUN,TRANSCLUSION
jonas,33,PROPER NOUN,TRANSCLUSION
ausmaß,33,NOUN,SINGULAR
löwen,33,NOUN,PROPER NOUN,SINGULAR;TRANSCLUSION
rät,33,VERB,3PS;INFLECTED_FORM;TRANSCLUSION
derby,32,NOUN,SINGULAR;TRANSCLUSION
ampel,32,NOUN,SINGULAR;TRANSCLUSION
epstein,32,PROPER NOUN,TRANSCLUSION
gemüse,32,NOUN,SINGULAR;TRANSCLUSION
harald,32,PROPER NOUN,TRANSCLUSION
allzu,32,ADVERB,
weiße,32,ADJECTIVE,VERB,NOUN,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ;TRANSCLUSION
bremer,31,NOUN,ADJECTIVE,SINGULAR;TRANSCLUSION
hektar,31,NOUN,SINGULAR
martina,31,PROPER NOUN,TRANSCLUSION
lücke,31,NOUN,SINGULAR
potsdam,31,PROPER NOUN,TRANSCLUSION
teheran,31,PROPER NOUN,TRANSCLUSION
daß,31,CONJUNCTION,ARTICLE,TRANSCLUSION
heiße,31,VERB,ADJECTIVE,3PS;FORM_OF;IMP;INFLECTED_FORM;SUBJ;TRANSCLUSION
löst,31,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;TRANSCLUSION
rückt,31,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;TRANSCLUSION
stößt,31,VERB,3PS;INFLECTED_FORM;TRANSCLUSION
bergung,30,NOUN,SINGULAR
daniela,30,PROPER NOUN,TRANSCLUSION
grazer,30,NOUN,ADJECTIVE,SINGULAR;TRANSCLUSION
notruf,30,NOUN,SINGULAR
luis,30,PROPER NOUN,TRANSCLUSION
binnen,30,PREPOSITION,
dennis,29,PROPER NOUN,TRANSCLUSION
mailand,29,PROPER NOUN,
nicole,29,PROPER NOUN,TRANSCLUSION
nina,29,PROPER NOUN,TRANSCLUSION
radweg,29,NOUN,SINGULAR
vögel,29,VERB,NOUN,FORM_OF;IMP;INFLECTED_FORM;PLURAL;TRANSCLUSION
syrer,29,NOUN,SINGULAR
mögen,29,VERB,INF;TRANSCLUSION
prägen,29,VERB,
stärkt,29,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;TRANSCLUSION
zwanzig,29,NUMERAL,NOUN,SINGULAR;TRANSCLUSION
brüder,28,NOUN,PLURAL;TRANSCLUSION
bärbel,28,PROPER NOUN,TRANSCLUSION
dirk,28,PROPER NOUN,TRANSCLUSION
flug,28,NOUN,SINGULAR
katar,28,PROPER NOUN,TRANSCLUSION
hürden,28,NOUN,PLURAL;TRANSCLUSION
karin,28,PROPER NOUN,TRANSCLUSION
neos,28,PROPER NOUN,TRANSCLUSION
nico,28,PROPER NOUN,TRANSCLUSION
sahra,28,PROPER NOUN,TRANSCLUSION
trikot,28,NOUN,SINGULAR;TRANSCLUSION
wärme,28,VERB,NOUN,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ;TRANSCLUSION
fünfte,28,ADJECTIVE,TRANSCLUSION
kämen,28,VERB,INFLECTED_FORM;SUBJ;TRANSCLUSION
flüge,27,NOUN,PLURAL;TRANSCLUSION
mühe,27,NOUN,SINGULAR
rostock,27,PROPER NOUN,TRANSCLUSION
etliche,27,PRONOUN,TRANSCLUSION
